name,ratings,reviews,companytype,locations,Highly_Rated_For,Critically_Rated_For
TCS,3.3,1.1L,IT Services & Consulting,Bengaluru +440 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Accenture,3.7,72.5k,IT Services & Consulting,Bengaluru +257 other locations,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Wipro,3.6,64.4k,IT Services & Consulting,Hyderabad +371 other locations,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Cognizant,3.7,60.7k,IT Services & Consulting,Hyderabad +233 other locations,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Capgemini,3.7,52.4k,IT Services & Consulting,Bengaluru +182 other locations,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
HDFC Bank,3.8,51.6k,Banking,Mumbai +1839 other locations,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
Infosys,3.5,48.2k,IT Services & Consulting,Bengaluru +248 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
ICICI Bank,3.9,45.5k,Banking,Mumbai +1441 other locations,"Job Security, Promotions / Appraisal, Skill Development / Learning",
HCLTech,3.4,45.4k,IT Services & Consulting,Chennai +232 other locations,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Tech Mahindra,3.4,42.9k,IT Services & Consulting,Hyderabad +331 other locations,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Genpact,3.6,41.5k,Analytics & KPO,Hyderabad +181 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
TP,3.8,37.7k,BPO,Mumbai +257 other locations,"Work Life Balance, Job Security",
Jio,4.4,33.4k,Telecom,Mumbai +1961 other locations,"Job Security, Skill Development / Learning, Company Culture",
Axis Bank,3.6,32.7k,Banking,Mumbai +1513 other locations,"Promotions / Appraisal, Work Satisfaction, Company Culture",
Concentrix Corporation,3.6,31.9k,BPO,Bengaluru +179 other locations,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Amazon,3.9,31.2k,Internet,Bengaluru +524 other locations,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
Reliance Retail,3.9,27.2k,Retail,Mumbai +1156 other locations,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
iEnergizer,4.6,27.1k,BPO,Noida +52 other locations,"Company Culture, Job Security, Salary & Benefits",
LTIMindtree,3.6,26.1k,IT Services & Consulting,Bengaluru +145 other locations,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
IBM,3.9,25.6k,IT Services & Consulting,Bengaluru +161 other locations,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
HDB Financial Services,3.9,25.4k,NBFC,Mumbai +1095 other locations,"Work Life Balance, Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
Larsen & Toubro Limited,3.9,23.6k,Engineering & Construction,Chennai +761 other locations,"Job Security, Skill Development / Learning, Salary & Benefits","Promotions / Appraisal, Work Life Balance"
Deloitte,3.7,22.8k,Management Consulting,Hyderabad +189 other locations,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",
Kotak Mahindra Bank,3.6,22.2k,Banking,Mumbai +688 other locations,"Promotions / Appraisal, Work Satisfaction, Company Culture",
